loan_amnt,term,int_rate,grade,emp_title,emp_length,annual_inc,issue_d,loan_status,purpose,total_pymnt,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,flag
13000,36 months,14.47%,C,Consultant,3 years,97e3,Feb-2019,Current,credit_card,1778.71,Jun-2019,447.29,Jul-2019,Jun-2019,1
8000,36 months,6.46%,A,NA,n/a,79e3,Jan-2019,Charged Off,debt_consolidation,0,NA,0,NA,Jan-2019,1
10000,60 months,20.00%,D,NA,< 1 year,5e4,Feb-2019,Current,debt_consolidation,1037.54,Jun-2019,264.94,Jul-2019,Jun-2019,1
3500,36 months,8.81%,A,Household Manager,5 years,28800,Feb-2019,Current,debt_consolidation,452.53,Jun-2019,110.99,Jul-2019,Jun-2019,1
16000,36 months,7.56%,A,Project Manager,5 years,106e3,Jan-2019,Current,credit_card,2484.03,Jun-2019,498.15,Jul-2019,Jun-2019,1
14000,36 months,17.97%,D,Chemistry teacher,< 1 year,3e4,Feb-2019,Current,credit_card,5755.43,Jun-2019,3295.93,Jul-2019,Jun-2019,1
11000,36 months,11.80%,B,Paralegal,< 1 year,5e4,Jan-2019,Current,debt_consolidation,1843.19,Jun-2019,364.31,Jul-2019,Jun-2019,1
10000,36 months,8.81%,A,Database Manager,10+ years,81500,Mar-2019,Current,credit_card,946.47,Jun-2019,317.12,Jul-2019,Jun-2019,1
10000,36 months,16.91%,C,Registered Nurse,1 year,7e4,Feb-2019,Current,debt_consolidation,1414.93,Jun-2019,356.08,Jul-2019,Jun-2019,1
20000,60 months,22.35%,D,Direct Care Worker,10+ years,35e3,Jan-2019,Current,debt_consolidation,2732.18,Jun-2019,556.37,Jul-2019,Jun-2019,1
3000,36 months,7.56%,A,CNA,5 years,35e3,Mar-2019,Current,vacation,277.71,Jun-2019,93.41,Jul-2019,Jun-2019,1
35000,60 months,14.47%,C,Solutions Architect - Network,10+ years,19e4,Mar-2019,Current,credit_card,2623.61,Jun-2019,822.95,Jul-2019,Jun-2019,1
18200,36 months,17.97%,D,License Coordinator,10+ years,57e3,Jan-2019,Current,credit_card,2594.46,May-2019,657.7,Jul-2019,Jun-2019,1
3000,36 months,13.90%,C,Merchandiser,1 year,31200,Mar-2019,Current,debt_consolidation,304.85,Jun-2019,102.39,Jul-2019,Jun-2019,1
6000,36 months,16.40%,C,Men’s Shoes,< 1 year,4e4,Mar-2019,Current,debt_consolidation,625.46,Jun-2019,212.13,Jul-2019,Jun-2019,1
20000,36 months,8.19%,A,Accounts Receivables,10+ years,6e4,Jan-2019,Current,credit_card,3124.25,Jun-2019,628.49,Jul-2019,Jun-2019,1
10000,36 months,11.80%,B,Dental Assistant,2 years,35e3,Jan-2019,Current,debt_consolidation,1642.84,Jun-2019,331.19,Jul-2019,Jun-2019,1
17000,60 months,14.47%,C,Welfare Fraud Investigator,4 years,52e3,Feb-2019,Current,debt_consolidation,1674.04,Jun-2019,399.72,Jul-2019,Jun-2019,1
10000,36 months,7.02%,A,Laborer,9 years,36500,Feb-2019,Current,debt_consolidation,1231.58,Jun-2019,308.87,Jul-2019,Jun-2019,1
6000,36 months,13.56%,C,Child nutrition secretary,5 years,28e3,Jan-2019,Current,credit_card,1000.87,Jun-2019,203.79,Jul-2019,Jun-2019,1
24000,60 months,22.35%,D,NA,< 1 year,7e4,Feb-2019,Current,credit_card,2640.76,Jun-2019,667.64,Jul-2019,Jun-2019,1
7000,36 months,17.97%,D,Service Rep,10+ years,69e3,Mar-2019,Fully Paid,home_improvement,7171.2964436344,May-2019,6932.31,NA,May-2019,1
12000,36 months,8.19%,A,Security Officer,2 years,5e4,Mar-2019,Current,credit_card,743.26,May-2019,377.09,Jul-2019,Jun-2019,1
40000,36 months,11.02%,B,Bus Person,10+ years,35e3,Mar-2019,Current,debt_consolidation,3905.3,Jun-2019,1309.93,Jul-2019,Jun-2019,1
20000,60 months,12.40%,B,General Foreman,10+ years,92e3,Mar-2019,Current,home_improvement,1333.07,Jun-2019,448.95,Jul-2019,Jun-2019,1
32000,36 months,8.81%,A,Salesman,10+ years,16e4,Jan-2019,Current,debt_consolidation,5160,Jun-2019,1014.77,Jul-2019,Jun-2019,1
20000,60 months,10.33%,B,Administrator,10+ years,23e4,Mar-2019,Current,major_purchase,1273.12,Jun-2019,428.2,Jul-2019,Jun-2019,1
30000,36 months,10.33%,B,NA,< 1 year,178e3,Jan-2019,Current,other,4846.18,Jun-2019,972.68,Jul-2019,Jun-2019,1
5000,36 months,11.31%,B,Lab asst.,4 years,39e3,Jan-2019,Current,credit_card,815.87,Jun-2019,164.43,Jul-2019,Jun-2019,1
10000,60 months,10.33%,B,Claims adjuster,3 years,6e4,Feb-2019,Current,home_improvement,844.92,Jun-2019,214.1,Jul-2019,Jun-2019,1
40000,60 months,12.98%,B,Chief Service Manager,4 years,18e4,Feb-2019,Current,small_business,3610.04,Jun-2019,909.72,Jul-2019,Jun-2019,1
15000,60 months,17.97%,D,General Manager,9 years,91e3,Mar-2019,Current,debt_consolidation,1112.03,Jun-2019,380.66,Jul-2019,Jun-2019,1
5000,36 months,8.81%,A,Public Works Department,5 years,57e3,Jan-2019,Current,credit_card,790.35,Jun-2019,158.56,Jul-2019,Jun-2019,1
20000,36 months,12.98%,B,first sergent,10+ years,72e3,Feb-2019,Current,other,2658.7,Jun-2019,673.69,Jul-2019,Jun-2019,1
3000,36 months,13.08%,B,Flight Attendant,10+ years,57e3,Mar-2019,Current,vacation,304.69,Jun-2019,101.2,Jul-2019,Jun-2019,1
20000,36 months,15.57%,C,Supply Chain Manager,3 years,85e3,Feb-2019,Current,debt_consolidation,2778.34,Jun-2019,698.91,Jul-2019,Jun-2019,1
35000,36 months,12.98%,B,Office manager,8 years,5e4,Jan-2019,Current,home_improvement,5869.56,Jun-2019,1178.96,Jul-2019,Jun-2019,1
14000,36 months,8.19%,A,Tech,8 years,99500,Mar-2019,Fully Paid,credit_card,14012.74,Mar-2019,14019.11,NA,Jun-2019,1
10000,36 months,11.80%,B,Foreman,10+ years,71500,Jan-2019,Current,major_purchase,1642.84,Jun-2019,331.19,Jul-2019,Jun-2019,1
1000,36 months,27.27%,E,Sleep Tech,6 years,124e3,Feb-2019,Fully Paid,major_purchase,1050.810449425,Apr-2019,1011.35,NA,Jun-2019,1
18000,60 months,10.72%,B,NA,n/a,27800,Feb-2019,Current,credit_card,1544.72,Jun-2019,388.86,Jul-2019,Jun-2019,1
9000,36 months,16.40%,C,NA,n/a,45e3,Mar-2019,Current,debt_consolidation,946.4,Jun-2019,318.2,Jul-2019,Jun-2019,1
10000,36 months,11.80%,B,Sr Cost Accountant,10+ years,76600,Jan-2019,Current,debt_consolidation,1347.7,Jun-2019,331.19,Jul-2019,Jun-2019,1
22725,36 months,13.56%,C,Driver,3 years,45e3,Feb-2019,Current,debt_consolidation,3070.24,Jun-2019,771.84,Jul-2019,Jun-2019,1
34000,36 months,16.14%,C,sales,10+ years,82e3,Feb-2019,Current,debt_consolidation,4760.31,Jun-2019,1197.7,Jul-2019,Jun-2019,1
40000,60 months,8.81%,A,"VP, Risk Management",10+ years,12e4,Feb-2019,Current,debt_consolidation,4609.34,Jun-2019,826.66,Jul-2019,Jun-2019,1
20000,36 months,10.33%,B,NA,4 years,53e3,Jan-2019,Current,debt_consolidation,3230.77,Jun-2019,648.45,Jul-2019,Jun-2019,1
10000,36 months,19.92%,D,NA,< 1 year,6e4,Feb-2019,Current,credit_card,1473.85,Jun-2019,371.23,Jul-2019,Jun-2019,1
10000,60 months,16.40%,C,NA,n/a,17e3,Mar-2019,Current,debt_consolidation,690.41,Jun-2019,245.32,Jul-2019,Jun-2019,1
12000,36 months,7.02%,A,Quality Control/Test Technician,10+ years,44e3,Mar-2019,Current,credit_card,1107.24,Jun-2019,370.64,Jul-2019,Jun-2019,1
10000,36 months,7.56%,A,NA,n/a,72e3,Jan-2019,Current,major_purchase,1548.3,Jun-2019,311.34,Jul-2019,Jun-2019,1
6000,36 months,7.56%,A,Controller,10+ years,14e4,Jan-2019,Current,debt_consolidation,744.72,May-2019,186.81,Jul-2019,Jun-2019,1
15000,60 months,11.31%,B,Practice Administrator,8 years,12e4,Feb-2019,Current,credit_card,1304.46,Jun-2019,328.47,Jul-2019,Jun-2019,1
23000,60 months,8.19%,A,NA,< 1 year,8e4,Feb-2019,Current,credit_card,1394.92,Jun-2019,468.46,Jul-2019,Jun-2019,1
4200,36 months,16.91%,C,Digital Media Specialist,1 year,68e3,Feb-2019,Current,credit_card,594.29,Jun-2019,149.56,Jul-2019,Jun-2019,1
11000,36 months,7.02%,A,teacher,10+ years,111e3,Mar-2019,Current,moving,1014.96,Jun-2019,339.75,Jul-2019,Jun-2019,1
20000,36 months,15.57%,C,NA,< 1 year,85e3,Mar-2019,Current,debt_consolidation,2062.13,Jun-2019,698.91,Jul-2019,Jun-2019,1
25000,60 months,11.02%,B,General Manager,2 years,112e3,Mar-2019,Current,debt_consolidation,1616.12,Jun-2019,543.81,Jul-2019,Jun-2019,1
12500,36 months,6.46%,A,SIS Disability Examiner,5 years,207771,Mar-2019,Current,credit_card,1292.28,Jun-2019,530.99,Jul-2019,Jun-2019,1
4000,36 months,16.40%,C,Secretary,10+ years,48789,Mar-2019,Current,home_improvement,416.97,Jun-2019,141.42,Jul-2019,Jun-2019,1
20000,36 months,13.90%,C,Teacher,< 1 year,18e3,Feb-2019,Current,debt_consolidation,2699.47,Jun-2019,682.59,Jul-2019,Jun-2019,1
10000,36 months,10.33%,B,Legal Assistant,< 1 year,86e3,Mar-2019,Current,credit_card,966.95,Jun-2019,324.23,Jul-2019,Jun-2019,1
6000,36 months,10.33%,B,Foreman,10+ years,7e4,Feb-2019,Current,debt_consolidation,788.5,Jun-2019,194.54,Jul-2019,Jun-2019,1
8000,36 months,16.14%,C,Office Manager,10+ years,4e4,Feb-2019,Current,credit_card,1120.07,Jun-2019,281.81,Jul-2019,Jun-2019,1
24825,60 months,11.80%,B,NA,n/a,2e5,Jan-2019,Current,credit_card,2716.05,Jun-2019,549.72,Jul-2019,Jun-2019,1
12500,60 months,8.19%,A,Lead Surveillance Operator,2 years,53e3,Mar-2019,Current,credit_card,1708.11,Jun-2019,554.6,Jul-2019,Jun-2019,1
16800,36 months,12.98%,B,Specialist Technician - Pest Control,1 year,6e4,Feb-2019,Current,debt_consolidation,2251.49,Jun-2019,565.9,Jul-2019,Jun-2019,1
10000,60 months,8.19%,A,Seafood Production Manager,4 years,8e4,Jan-2019,Current,debt_consolidation,1013.85,Jun-2019,203.68,Jul-2019,Jun-2019,1
8000,36 months,20.89%,D,Senior Director Global Digital Marketing,3 years,2e5,Feb-2019,Current,debt_consolidation,1194.52,Jun-2019,300.95,Jul-2019,Jun-2019,1
30800,60 months,12.98%,B,Manager Project Development,10+ years,12e4,Feb-2019,Current,debt_consolidation,2779.71,Jun-2019,700.48,Jul-2019,Jun-2019,1
13000,60 months,12.98%,B,Stylist,6 years,52e3,Jan-2019,Current,debt_consolidation,1468.93,Jun-2019,295.66,Jul-2019,Jun-2019,1
16000,36 months,11.31%,B,Teacher,5 years,121e3,Jan-2019,Current,debt_consolidation,2610.79,Jun-2019,526.18,Jul-2019,Jun-2019,1
10400,36 months,8.81%,A,CSR,4 years,75e3,Feb-2019,Current,debt_consolidation,1314.11,Jun-2019,329.8,Jul-2019,Jun-2019,1
7000,36 months,17.97%,D,Administrative Assistant,10+ years,82e3,Mar-2019,Current,debt_consolidation,744.93,Jun-2019,252.97,Jul-2019,Jun-2019,1
20000,36 months,16.91%,C,20LV 88M,10+ years,51e3,Feb-2019,Current,debt_consolidation,2829.85,Jun-2019,712.16,Jul-2019,Jun-2019,1
35000,36 months,11.80%,B,Truck Driver,5 years,95e3,Jan-2019,Current,debt_consolidation,4613.74,May-2019,1159.17,Jul-2019,Jun-2019,1
10000,36 months,6.46%,A,Continuing Education Coordinator,< 1 year,76e3,Jan-2019,Current,debt_consolidation,1524.37,Jun-2019,306.31,Jul-2019,Jun-2019,1
18000,36 months,10.72%,B,Loan supervisor,5 years,48e3,Jan-2019,Fully Paid,credit_card,18539.8407304752,Apr-2019,17376.72,NA,Feb-2019,1
6000,36 months,8.19%,A,NA,n/a,29424,Mar-2019,Current,debt_consolidation,562.92,Jun-2019,188.55,Jul-2019,Jun-2019,1
10000,60 months,20.89%,D,Assembler,4 years,24e3,Jan-2019,Current,debt_consolidation,1378.61,Jun-2019,269.92,Jul-2019,Jun-2019,1
36400,60 months,13.08%,B,Process Engineer,< 1 year,113300,Mar-2019,Current,credit_card,2462.68,Jun-2019,829.71,Jul-2019,Jun-2019,1
1500,36 months,24.37%,E,Assistant manager,8 years,68e3,Jan-2019,Current,other,234.57,May-2019,59.15,Jul-2019,Jun-2019,1
10000,36 months,7.02%,A,Lead Cutter Operator,7 years,69e3,Feb-2019,Current,debt_consolidation,1225.73,Jun-2019,308.87,Jul-2019,Jun-2019,1
10000,36 months,11.31%,B,NA,< 1 year,1e5,Jan-2019,Current,debt_consolidation,1638.02,Jun-2019,328.86,Jul-2019,Jun-2019,1
16000,36 months,16.14%,C,ASM,10+ years,9e4,Feb-2019,Current,debt_consolidation,2240.13,Jun-2019,563.62,Jul-2019,Jun-2019,1
20000,60 months,16.40%,C,Misc. processor,1 year,48e3,Mar-2019,Current,debt_consolidation,1435.45,Jun-2019,490.63,Jul-2019,Jun-2019,1
10000,36 months,13.90%,C,Border Patrol Agent,9 years,11e4,Mar-2019,Current,debt_consolidation,674.88,May-2019,341.3,Jul-2019,Jun-2019,1
25000,60 months,19.92%,D,Help Desk Team Lead,10+ years,45e3,Jan-2019,Current,debt_consolidation,3278.53,Jun-2019,661.24,Jul-2019,Jun-2019,1
20000,36 months,8.81%,A,Director of Sales,< 1 year,12e4,Jan-2019,Current,credit_card,3151.57,Jun-2019,634.23,Jul-2019,May-2019,1
16000,36 months,12.98%,B,"Vice President, Marketing",3 years,201500,Jan-2019,Current,debt_consolidation,2723.59,Jun-2019,538.95,Jul-2019,Jun-2019,1
10000,60 months,27.27%,E,Client Services Manager,4 years,9e4,Feb-2019,Current,credit_card,1212.73,Jun-2019,306.97,Jul-2019,Jun-2019,1
6000,36 months,8.19%,A,Network Security Administrator,7 years,5e4,Jan-2019,Current,credit_card,930.47,Jun-2019,188.55,Jul-2019,Jun-2019,1
28000,60 months,22.35%,D,Customer Service Representative,< 1 year,48500,Jan-2019,Current,debt_consolidation,3859.83,Jun-2019,778.92,Jul-2019,Jun-2019,1
32000,60 months,12.40%,B,Production Artist - Color Lead,9 years,66e3,Mar-2019,Current,debt_consolidation,2176.98,Jun-2019,718.31,Jul-2019,Jun-2019,1
8000,36 months,8.19%,A,Exec corporate chef,1 year,215e3,Feb-2019,Current,moving,1001.96,Jun-2019,251.4,Jul-2019,Jun-2019,1
25000,60 months,12.40%,B,Vice President Financial Advisor,10+ years,142e3,Mar-2019,Current,credit_card,1666.32,Jun-2019,561.18,Jul-2019,Jun-2019,1
40000,36 months,10.72%,B,Teacher,2 years,13e4,Jan-2019,Current,debt_consolidation,6497.48,Jun-2019,1304.26,Jul-2019,Jun-2019,1
8000,36 months,25.00%,D,Project Manager,10+ years,85e3,Mar-2019,Current,debt_consolidation,613.94,Jun-2019,318.08,Jul-2019,Jun-2019,1
8000,36 months,10.72%,B,Estimator,1 year,5e4,Feb-2019,Current,debt_consolidation,1055.36,Jun-2019,260.86,Jul-2019,Jun-2019,1
28675,36 months,7.02%,A,Sr. Manager,3 years,136e3,Feb-2019,Current,debt_consolidation,3520.31,Jun-2019,885.67,Jul-2019,Jun-2019,1
25000,36 months,25.00%,D,Human Resource Manager,3 years,76e3,Mar-2019,Current,debt_consolidation,2947.28,Jun-2019,994,Jul-2019,Jun-2019,1
30000,60 months,8.19%,A,Chief Operating Officer,7 years,155e3,Feb-2019,Current,debt_consolidation,2430.47,Jun-2019,611.03,Jul-2019,Jun-2019,1
20000,60 months,14.47%,C,NA,n/a,0,Jan-2019,Current,debt_consolidation,2214.64,Jun-2019,470.26,Jul-2019,Jun-2019,1
17000,60 months,20.89%,D,Cst service,9 years,63e3,Feb-2019,Current,credit_card,1356.85,May-2019,458.86,Jul-2019,Jun-2019,1
9500,36 months,13.08%,B,PTA,< 1 year,36e3,Feb-2019,Current,debt_consolidation,1274.94,Jun-2019,320.46,Jul-2019,Jun-2019,1
24000,36 months,7.02%,A,"Director, Education | Retirement",5 years,12e4,Mar-2019,Current,home_improvement,2264.45,Jun-2019,741.27,Jul-2019,Jun-2019,1
18000,60 months,17.97%,D,NA,n/a,46952.33,Mar-2019,Current,debt_consolidation,1334.43,Jun-2019,456.79,Jul-2019,Jun-2019,1
30000,60 months,20.89%,D,"Mgr. Compliance, Analytic, Supplier Mgt",10+ years,13e4,Jan-2019,Current,debt_consolidation,3979.12,Jun-2019,809.75,Jul-2019,Jun-2019,1
25000,60 months,8.19%,A,Supervisor,10+ years,62e3,Mar-2019,Current,credit_card,1516.19,Jun-2019,509.19,Jul-2019,Jun-2019,1
20000,60 months,10.72%,B,parts driver,3 years,37e3,Feb-2019,In Grace Period,debt_consolidation,1314.08,May-2019,432.07,Jul-2019,Jun-2019,1
16000,60 months,19.92%,D,Transaction Specialist,1 year,115e3,Jan-2019,Current,debt_consolidation,1657.39,May-2019,423.2,Jul-2019,Jun-2019,1
8000,36 months,7.56%,A,Customer Service Specialist,3 years,28600,Jan-2019,Current,credit_card,1242.04,Jun-2019,249.08,Jul-2019,Jun-2019,1
14000,36 months,7.56%,A,Field Service,8 years,125e3,Mar-2019,Current,debt_consolidation,3955.76,Jun-2019,435.88,Jul-2019,Jun-2019,1
14000,36 months,13.08%,B,Loan officer,2 years,2e5,Mar-2019,Current,debt_consolidation,1396.43,Jun-2019,472.26,Jul-2019,Jun-2019,1
12000,36 months,6.46%,A,NA,< 1 year,11e4,Feb-2019,Current,debt_consolidation,1465.97,Jun-2019,367.57,Jul-2019,Jun-2019,1
15000,36 months,16.14%,C,Shift supervisor,2 years,3e4,Jan-2019,Current,credit_card,2608.38,Jun-2019,528.4,Jul-2019,Jun-2019,1
12000,60 months,20.89%,D,NA,n/a,56e3,Feb-2019,Current,credit_card,1267.75,Jun-2019,323.9,Jul-2019,Jun-2019,1
14500,36 months,11.80%,B,CSM,4 years,135e3,Jan-2019,Current,credit_card,2391.64,Jun-2019,480.23,Jul-2019,Jun-2019,1
14000,60 months,8.19%,A,Accountant,3 years,101e3,Feb-2019,Current,debt_consolidation,1134.23,Jun-2019,285.15,Jul-2019,Jun-2019,1
20000,36 months,10.33%,B,Care Manager,1 year,54e3,Mar-2019,Current,credit_card,1956.83,Jun-2019,648.45,Jul-2019,Jun-2019,1
8000,36 months,8.19%,A,Loan Specialist,4 years,43257,Jan-2019,Current,debt_consolidation,1277.02,Jun-2019,251.4,Jul-2019,Jun-2019,1
9000,36 months,7.02%,A,NA,n/a,45e3,Mar-2019,Current,credit_card,826.92,Jun-2019,277.98,Jul-2019,Jun-2019,1
10000,36 months,6.46%,A,Computer Specialist,10+ years,8e4,Feb-2019,Current,credit_card,1221.65,Jun-2019,306.31,Jul-2019,Jun-2019,1
12000,60 months,12.98%,B,Run Heavy Equipment,5 years,6e4,Jan-2019,Current,medical,1347.29,Jun-2019,272.92,Jul-2019,Jun-2019,1
34450,36 months,7.56%,A,NA,n/a,24e3,Mar-2019,Current,debt_consolidation,3203.21,Jun-2019,1072.56,Jul-2019,Jun-2019,1
7900,36 months,23.40%,E,NA,n/a,19500,Jan-2019,Current,other,1824.22,Jun-2019,307.46,Jul-2019,Jun-2019,1
1750,36 months,20.00%,D,Shift Manager,3 years,25e3,Mar-2019,Current,credit_card,208.18,Jun-2019,145.08,Jul-2019,Jun-2019,1
30000,36 months,8.19%,A,Manager,10+ years,156224,Feb-2019,Current,debt_consolidation,3743.62,Jun-2019,942.73,Jul-2019,Jun-2019,1
10000,36 months,7.56%,A,Professional driver,< 1 year,9e4,Jan-2019,Current,credit_card,1236.96,May-2019,311.34,Jul-2019,Jun-2019,1
10000,60 months,17.19%,C,Driver,1 year,25e3,Mar-2019,Current,debt_consolidation,1790.45,Jun-2019,350,Jul-2019,Jun-2019,1
16500,36 months,7.02%,A,Office Manager,3 years,38500,Mar-2019,Current,debt_consolidation,1522.45,Jun-2019,509.63,Jul-2019,Jun-2019,1
31000,36 months,6.46%,A,panit body worker,10+ years,12e4,Mar-2019,Current,debt_consolidation,2837.55,Jun-2019,949.56,Jul-2019,Jun-2019,1
40000,60 months,16.40%,C,Environmental compliance manager,5 years,94e3,Feb-2019,Current,debt_consolidation,3888.56,Jun-2019,981.25,Jul-2019,Jun-2019,1
10000,36 months,15.02%,C,Sales,< 1 year,75e3,Jan-2019,Current,house,1712.94,Jun-2019,346.76,Jul-2019,Jun-2019,1
25000,60 months,14.74%,C,Automated Underwriter,4 years,15e4,Mar-2019,Current,debt_consolidation,1733.11,Jun-2019,591.35,Jul-2019,Jun-2019,1
12000,36 months,6.46%,A,Manager,9 years,5e4,Jan-2019,Fully Paid,credit_card,12194.2137385891,Apr-2019,11467.68,NA,Apr-2019,1
12000,60 months,11.80%,B,Associate Director,10+ years,63e3,Jan-2019,Current,debt_consolidation,1312.92,Jun-2019,265.73,Jul-2019,Jun-2019,1
16000,36 months,14.74%,C,CASEWORKER II,10+ years,75e3,Mar-2019,Current,car,1644.76,Jun-2019,552.62,Jul-2019,Jun-2019,1
9600,36 months,7.56%,A,NA,2 years,8e4,Mar-2019,Current,other,892.64,Jun-2019,298.89,Jul-2019,Jun-2019,1
6000,36 months,15.57%,C,Chargeback Analyst,4 years,35e3,Mar-2019,Current,debt_consolidation,623.85,Jun-2019,209.68,Jul-2019,Jun-2019,1
12000,36 months,11.02%,B,Maintenance worker,6 years,33e3,Feb-2019,Current,debt_consolidation,1557.23,Jun-2019,392.98,Jul-2019,Jun-2019,1
6850,36 months,11.80%,B,Account Manager,1 year,37e3,Jan-2019,Current,debt_consolidation,1129.86,Jun-2019,226.87,Jul-2019,Jun-2019,1
12000,36 months,6.46%,A,Senior Systems Engineer,8 years,11e4,Jan-2019,Current,major_purchase,1829.24,Jun-2019,367.57,Jul-2019,Jun-2019,1
33000,60 months,10.33%,B,Air Traffic Controller,10+ years,132e3,Jan-2019,Current,debt_consolidation,3513.71,Jun-2019,706.53,Jul-2019,Jun-2019,1
33000,60 months,8.81%,A,assest manage,10+ years,85e3,Mar-2019,Current,credit_card,1940.99,May-2019,681.99,Jul-2019,Jun-2019,1
15000,60 months,8.19%,A,Protective Security Officer,3 years,65e3,Jan-2019,Current,debt_consolidation,1513.95,Jun-2019,305.52,Jul-2019,Jun-2019,1
14000,36 months,7.56%,A,Sr Network Engineer,1 year,1e5,Jan-2019,Current,debt_consolidation,2135.3,Jun-2019,435.88,Jul-2019,Jun-2019,1
26000,60 months,20.00%,D,Sr. Learning and Development Trainer,10+ years,92e3,Mar-2019,Current,debt_consolidation,2037.66,Jun-2019,688.85,Jul-2019,Jun-2019,1
21150,36 months,16.91%,C,Foreman,10+ years,12e4,Jan-2019,Current,major_purchase,3745.68,Jun-2019,753.11,Jul-2019,Jun-2019,1
12000,60 months,13.56%,C,Safety Coordinator,1 year,105e3,Jan-2019,Current,debt_consolidation,1373.41,Jun-2019,276.49,Jul-2019,Jun-2019,1
40000,60 months,17.19%,C,Teacher,10+ years,155e3,Mar-2019,Current,debt_consolidation,1958.2,May-2019,998.2,Jul-2019,Jun-2019,1
10000,36 months,14.47%,C,Pool tech,5 years,35e3,Jan-2019,Current,debt_consolidation,1704.27,Jun-2019,344.07,Jul-2019,Jun-2019,1
12800,36 months,14.47%,C,Physical Therapist,6 years,1e5,Jan-2019,Current,debt_consolidation,1751.35,May-2019,440.41,Jul-2019,Jun-2019,1
14000,36 months,14.74%,C,Project Safety Manager,1 year,12e4,Mar-2019,Current,debt_consolidation,1439.16,Jun-2019,483.54,Jul-2019,Jun-2019,1
